Assigned Appeal Description,Assigned Appeal ID,Assigned Appeal Response,Age,Constituent ID,Lifetime Giving
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1363627,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1363639,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1364722,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1356232,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1367914,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1368427,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1370002,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1369243,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360798,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1358977,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360132,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1361503,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1362094,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1362955,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1364059,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1366468,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1367839,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1359067,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1352056,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1353406,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1354024,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1354189,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1351351,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1351015,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1350157,$350.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1350397,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1510397,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1508986,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,25,1510751,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,25,1510310,$10.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1510025,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501691,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,25,1512121,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1512531,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1512209,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1510535,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1501819,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1506382,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,,999936556,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1507533,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502066,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1503209,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502867,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502704,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1500787,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501787,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1508927,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,26,1509445,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1506419,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1508429,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1506423,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1506775,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1506429,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1508794,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502260,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502274,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502526,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502402,$20.19 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1503967,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501835,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1358608,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501389,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1502422,$200.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501355,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,27,1502269,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1501920,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1500642,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,64,999934546,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,62,999936396,$100.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1412668,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1416697,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1275685,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1350607,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1351234,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1352704,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1352962,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1353217,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1297963,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1267009,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1233517,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1350841,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1356562,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1359118,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1359721,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1359745,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360120,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360348,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,33,1360435,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360561,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1360795,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1415989,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1417633,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1261906,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1304569,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1305556,$186.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,76,999934839,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1299841,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1260682,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1262872,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1263115,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1289272,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1291192,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1291390,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1292656,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1278679,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1279582,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1280440,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1277722,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1288675,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1288846,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1328302,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1419388,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1225135,"$8,867.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1198237,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1198780,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1199806,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1201786,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,47,1201954,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1202071,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1209166,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,58,999941308,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,63,999932955,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,67,999942305,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,80,999910601,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1211980,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1213888,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1214911,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1215682,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1216639,"$2,594.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1216918,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1217320,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1217341,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1218544,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1218550,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1219174,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220020,$105.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220179,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220218,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220308,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220422,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1220701,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1221454,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1221580,$110.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1224070,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1224397,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1225174,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1055323,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,50,1131862,$75.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1200529,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1273804,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1275352,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1275637,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1280992,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1281790,$100.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,999940390,$125.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1261093,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1281370,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1257505,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1417636,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1416148,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1406743,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1419976,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1415986,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1410001,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1414735,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1414609,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1419127,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1417753,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1414627,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1418077,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1416097,$20.17 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1415830,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1417816,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,28,1412320,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,29,1415122,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,62,999933181,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,60,999933182,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,69,999933346,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,64,999933347,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,63,999933363,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1407880,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1415656,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1406629,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1406122,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1404847,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1405105,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1405357,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,30,1405507,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1348375,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1348663,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1348666,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1348894,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,34,1349266,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1346854,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1344778,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1339090,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1339852,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1340599,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1340716,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1341394,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1342798,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,50,1344808,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,,999925906,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1333414,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1335517,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1337848,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1337881,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,35,1338133,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1338331,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1338628,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1338895,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1331881,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1332919,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,36,1329616,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1322770,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1326415,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1327123,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1327135,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1328059,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1313671,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1313257,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1313596,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1313917,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1314946,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1315651,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1315954,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,37,1317883,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1319842,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1320754,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1255306,$300.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1255402,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1256806,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1306630,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1306894,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1307683,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1248136,$110.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1248247,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1248457,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1240507,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1252840,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1231840,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,45,1231936,"$4,600.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1233754,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1233811,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1235938,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1236382,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1236811,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1248037,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1180027,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1222282,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1245934,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1246807,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1247116,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1230463,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1183240,$75.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1236667,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,44,1229863,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1181827,"$1,500.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1182529,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1183015,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,52,1159879,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1167775,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1168723,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1190670,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1168345,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,47,1180066,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1180789,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1184323,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1187041,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,47,1187234,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1187236,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1189479,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,47,1189825,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1190002,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,79,991009789,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,91,991009833,"$9,100.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,92,991010330,$160.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,74,991012425,"$2,425.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1190434,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1190467,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1190588,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1194487,$50.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,51,1196650,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1196653,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1197658,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1151026,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,88,991010950,"$1,125.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,84,991010975,"$4,980.00 "
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,46,1191206,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,49,1170469,$25.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,50,1171018,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1178383,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,48,1179640,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1279894,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1280074,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1280107,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1276627,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1276912,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1282366,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1283173,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,41,1282564,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,40,1291642,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1292770,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1298728,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1301212,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1301596,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1302508,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1296208,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1303897,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1304038,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1304239,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,38,1304242,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1304320,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,39,1304338,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,43,1270585,$0.00 
The Athletics Giving Week Results Are In! 20250430,BBOX58532473,Received,42,1270654,$0.00 
